base_torque,imu_pitch,imu_roll,offset_front,offset_rear,omega_body,omega_rel,theta_body,theta_front,theta_rear,theta_rel,timestamp,type,u_front,u_rear
,0.010265281652371807,0.007138601952158105,,,-0.0032471470628652613,0.1514766313935162,0.0001446083064269394,0.001606411341871849,0.004730005901900728,0.0031682086218862886,1.6083879470825195,state,,
-0.02790356141427148,,,-0.004650593569045246,-0.004650593569045246,,,,,,,1.608400821685791,control,-0.01395178070713574,-0.01395178070713574
,0.0035607133965579775,-0.006671539319249241,,,-0.008222418806655116,-0.6543712467550065,-7.125643232402326e-05,-0.0010309198915110875,-0.02482730996975695,-0.01292911493063402,1.613659381866455,state,,
-0.49999963847923395,,,-0.03455758169766434,-0.03455758169766434,,,,,,,1.6136693954467773,control,-0.24999981923961695,-0.249999819239617
,0.0018518960090076542,-0.0013456655079828958,,,-0.004971686222752742,-1.5409548402085451,-5.2366563134804365e-05,-0.024770977710811798,-0.04471763282500291,-0.03474430526790735,1.6185193061828613,state,,
-0.49999963847923395,,,-0.06386643006371105,-0.06386643006371105,,,,,,,1.6185288429260254,control,-0.249999819239617,-0.24999981923961695
,-0.0062040794470281215,0.005590766966412539,,,-0.0042370216588129535,-4.255535106663077,-5.30177952917413e-07,-0.10072591910247845,-0.09772581606515762,-0.09922586758381804,1.6236467361450195,state,,
-0.49999963847923395,,,-0.09258910146243683,-0.09258910146243683,,,,,,,1.6236562728881836,control,-0.2499998192396169,-0.24999981923961706
,0.01035406394008663,-0.0012437960286765142,,,-0.00547211278858061,-7.6296502779548,9.571042934082573e-06,-0.19371477672654672,-0.18843488283512438,-0.19107482978083556,1.6287856101989746,state,,
-0.49999963847923395,,,-0.12073731943318809,-0.12073731943318809,,,,,,,1.6287951469421387,control,-0.24999981923961684,-0.24999981923961712
,-0.0036444479365104255,0.000872985096541102,,,-0.004089423749025657,-12.067072682946078,2.4047185903755947e-06,-0.32377801600369055,-0.320289912455659,-0.3220339642296748,1.6340041160583496,state,,
-0.49999963847923395,,,-0.14832257304452434,-0.14832257304452434,,,,,,,1.6340129375457764,control,-0.24999981923961698,-0.24999981923961698
,-0.004467447332767883,-0.001538716161685213,,,-0.006845710861804221,-15.38912959579092,-0.00013357771461057808,-0.4431807592726495,-0.460522820926981,-0.45185179009981524,1.6390933990478516,state,,
-0.49999963847923395,,,-0.17535612158363384,-0.17535612158363384,,,,,,,1.6391024589538574,control,-0.24999981923961698,-0.24999981923961698
,-0.0038169249959618657,-0.0012450661581124968,,,-0.004074714815304805,-21.206728307321715,-0.00015676766144132344,-0.645010245799228,-0.6559405358466532,-0.6504753908229406,1.6442317962646484,state,,
-0.49999963847923395,,,-0.20184899915196117,-0.20184899915196117,,,,,,,1.6442406177520752,control,-0.24999981923961753,-0.24999981923961642
,-0.0036077029175209064,0.00268091836408409,,,-0.00462651209303202,-25.247650448206507,-0.00015956607133668763,-0.8385809498167317,-0.8434728829854745,-0.841026916401103,1.6494581699371338,state,,
-0.49999963847923395,,,-0.22781201916892194,-0.22781201916892194,,,,,,,1.6494677066802979,control,-0.24999981923961753,-0.24999981923961642
,-0.0023593028205298634,0.00281004826230953,,,0.00010878640789190432,-29.397946273953664,-4.4970977318285556e-05,-1.045251853121146,-1.0628894616128606,-1.0540706573670033,1.6544692516326904,state,,
-0.49999963847923395,,,-0.2532557787855435,-0.2532557787855435,,,,,,,1.6544780731201172,control,-0.24999981923961698,-0.24999981923961698
,-0.003152127884902445,0.0002663783224078361,,,-0.00464239819547773,-35.003097407687974,-0.00015703473794799843,-1.3263331586122937,-1.310256632140784,-1.318294895376539,1.6600840091705322,state,,
0.3077259365380396,,,-0.21819066320983263,-0.21819066320983263,,,,,,,1.6601202487945557,control,0.1538629682690209,0.15386296826901869
,0.0007867890894195002,-0.0022675501612234587,,,-0.010713796323961772,-37.78754515132603,-0.0003349950179081608,-1.5640940084298602,-1.539002958272692,-1.5515484833512763,1.6649470329284668,state,,
0.4999999689339212,,,-0.18382684994563597,-0.18382684994563597,,,,,,,1.6649565696716309,control,0.2499999844669617,0.24999998446695948
,-0.006030788801759044,-0.0047992553230928195,,,-0.014060953438192487,-37.181250670623896,-0.0005809589545186487,-1.7206453748685568,-1.734965145825619,-1.727805260347088,1.6713578701019287,state,,
0.4999999689339212,,,-0.15015031294672326,-0.15015031294672326,,,,,,,1.671367883682251,control,0.2499999844669606,0.2499999844669606
,0.00433470304321231,0.003606212018525969,,,-0.014495550312331417,-35.056335892358874,-0.0005456268472776383,-1.8647054514273615,-1.8738302900684236,-1.8692678707478927,1.6752557754516602,state,,
0.4999999689339212,,,-0.1171473066877888,-0.1171473066877888,,,,,,,1.6752643585205078,control,0.2499999844669617,0.24999998446695948
,0.010128201960854772,-0.00010072648311239354,,,-0.013350941508693976,-32.64208550448424,-0.0005065647270822157,-1.9999444599856961,-1.988164159936577,-1.9940543099611365,1.6805641651153564,state,,
0.4999999689339212,,,-0.08480436055403302,-0.08480436055403302,,,,,,,1.680572748184204,control,0.2499999844669606,0.2499999844669606
,-0.0017439329580295395,0.007438048000425479,,,-0.02005869915684587,-29.013985197774232,-0.00057181914610195,-2.0861835344449227,-2.0765789178858687,-2.0813812261653957,1.6859323978424072,state,,
0.4999999689339212,,,-0.05310827334295236,-0.05310827334295236,,,,,,,1.685941457748413,control,0.2499999844669606,0.2499999844669606
,-0.0038362271386060878,0.0028728852942168925,,,-0.01843662583162923,-24.237138151062076,-0.0005982125218170222,-2.120374315263616,-2.132707754602164,-2.12654103493289,1.6906609535217285,state,,
0.4999999689339212,,,-0.02204610787609331,-0.02204610787609331,,,,,,,1.6906766891479492,control,0.24999998446695837,0.2499999844669628
,-0.005712302611162866,-0.006918044177229373,,,-0.017655937830737396,-19.40204371136173,-0.0008291240355873995,-2.1501415608944856,-2.143055110006022,-2.146598335450254,1.6955816745758057,state,,
0.4999999689339212,,,0.008394814281428555,0.008394814281428555,,,,,,,1.695587158203125,control,0.2499999844669606,0.2499999844669606
,-0.007786525424470459,0.00233844459434619,,,-0.016025743780302706,-14.512045140973452,-0.000877697724705948,-2.1537576913971934,-2.128905942075129,-2.1413318167361615,1.7005910873413086,state,,
0.4999999689339212,,,0.03822691799579998,0.03822691799579998,,,,,,,1.7005946636199951,control,0.2499999844669628,0.24999998446695837
,0.0003772933695352027,0.0026772510703144616,,,-0.015422492397028281,-9.371854880861823,-0.0008714306204517202,-2.1168054424896057,-2.0959594021254193,-2.1063824223075125,1.705810546875,state,,
0.4999999689339212,,,0.06746237963588397,0.06746237963588397,,,,,,,1.7058138847351074,control,0.2499999844669606,0.2499999844669606
,0.0020859768719041437,-0.002209137469273248,,,-0.015568679722141425,-3.6493452484539888,-0.0009557404847240147,-2.0180399216268845,-2.0490652364949424,-2.0335525790609132,1.7107889652252197,state,,
0.4999999689339212,,,0.0961131320431663,0.0961131320431663,,,,,,,1.7107930183410645,control,0.24999998446695837,0.2499999844669628
,-0.006992107736710804,-0.0013471161360209796,,,-0.015168743376989601,1.199002344717286,-0.0010793094573731824,-1.9515337937024144,-1.9492536439160588,-1.9503937188092366,1.715822696685791,state,,
0.4999999689339212,,,0.12419086940230296,0.12419086940230296,,,,,,,1.7158262729644775,control,0.2499999844669606,0.2499999844669606
,-0.004017869945170698,-0.0009820793858997584,,,-0.014686624799340653,7.194363513387062,-0.0011678922121254934,-1.8134983053462506,-1.8245072240153526,-1.8190027646808016,1.72096586227417,state,,
0.4999999689339212,,,0.15170705201425688,0.15170705201425688,,,,,,,1.7209689617156982,control,0.2499999844669606,0.2499999844669606
,0.008192713824876244,0.0024817555247061166,,,-0.014243388547990503,12.882703112637142,-0.0010981181701530526,-1.6550887494092983,-1.673024275784729,-1.6640565125970137,1.725963830947876,state,,
0.4999999689339212,,,0.17867291097397175,0.17867291097397175,,,,,,,1.7259767055511475,control,0.2499999844669617,0.24999998446695948
,0.0020592023906851296,0.0006951090777786876,,,-0.016631348307075806,18.346994799213235,-0.001164335068967918,-1.4901276199223112,-1.480581650796677,-1.485354635359494,1.731064796447754,state,,
0.4999999689339212,,,0.20509945275449232,0.20509945275449232,,,,,,,1.7310678958892822,control,0.24999998446695948,0.2499999844669617
,-0.006598071228861956,-0.010350677373128114,,,-0.01365845327348982,23.660136373205102,-0.0014004659224178526,-1.2821103432401604,-1.2828750147772046,-1.2824926790086826,1.7360360622406006,state,,
0.4999999689339212,,,0.23099746369940247,0.23099746369940247,,,,,,,1.7360382080078125,control,0.2499999844669617,0.24999998446695948
,0.0031162658846762793,-0.008052772099556392,,,-0.011090264493873314,28.823297623536526,-0.0015107749975529256,-1.0570891153272526,-1.0553147394605922,-1.0562019273939223,1.7413115501403809,state,,
0.4999999689339212,,,0.2563775144254144,0.2563775144254144,,,,,,,1.741328477859497,control,0.24999998446695948,0.2499999844669617
,-0.001775493605531253,0.005082318385204344,,,-0.008875563924583744,34.60857426009144,-0.0014059618495608189,-0.7929694519533449,-0.7891975854612314,-0.7910835187072882,1.7462999820709229,state,,
0.4999999689339212,,,0.28124996413690606,0.28124996413690606,,,,,,,1.7463033199310303,control,0.24999998446696114,0.24999998446696003
,0.00019590680583613545,0.003564852162264104,,,-0.011268799720000743,39.157732465943035,-0.001400378098917165,-0.5278454868066504,-0.5179400228748277,-0.522892754840739,1.75123929977417,state,,
0.4999999689339212,,,0.3056249648541679,0.3056249648541679,,,,,,,1.7512421607971191,control,0.2499999844669606,0.2499999844669606
,0.003209936613187455,0.009498253805190272,,,-0.009986372343344894,44.982780025534666,-0.0011987239789326822,-0.20717898316101727,-0.20336170369423626,-0.20527034342762676,1.7564504146575928,state,,
0.4999999689339212,,,0.3295124655570846,0.3295124655570846,,,,,,,1.7564527988433838,control,0.2499999844669606,0.2499999844669606
,0.0027638958814753477,0.005321713300291126,,,-0.009581984137356532,49.712381836018714,-0.001093685895541451,0.11807552299317442,0.11905550991074192,0.11856551645195818,1.7614753246307373,state,,
0.4999999689339212,,,0.3529222162459429,0.3529222162459429,,,,,,,1.761488914489746,control,0.24999998446696053,0.24999998446696065
,-0.005137650471275687,-0.002837896619679552,,,-0.004631865194159986,54.45009253222095,-0.001105803755582828,0.4671151471826114,0.46532282629150085,0.4662189867370561,1.7664837837219238,state,,
0.4999999689339212,,,0.37586377192102405,0.37586377192102405,,,,,,,1.766486644744873,control,0.24999998446696087,0.2499999844669603
,0.001060528646638823,-0.0038432576366893133,,,-0.002391879186011267,59.709109892942536,-0.0011216039368912936,0.8531726829356506,0.8437561112208737,0.8484643970782622,1.7714827060699463,state,,
0.4999999689339212,,,0.39834649648260356,0.39834649648260356,,,,,,,1.7714858055114746,control,0.2499999844669606,0.2499999844669606
,-0.006362985828908424,-0.008740337229067011,,,0.0006243737641228343,64.82159713129143,-0.0012562778628009152,1.2526249070078725,1.255255381557058,1.2539401442824651,1.7769627571105957,state,,
0.4999999689339212,,,0.4203795665529515,0.4203795665529515,,,,,,,1.7769660949707031,control,0.2499999844669617,0.24999998446695948
,0.0018449154920168176,-0.0002243660105357963,,,0.00394303018023636,70.09832140824643,-0.0011481758751307081,1.682028476350391,1.6947983766990828,1.688413426524737,1.7817375659942627,state,,
0.4999999689339212,,,0.44197197522189247,0.44197197522189247,,,,,,,1.781740427017212,control,0.24999998446695948,0.2499999844669617
,-0.0025217729318241016,-0.0002852906435606835,,,0.008111628337716024,73.79278081593183,-0.0010421193875298016,2.111385104772355,2.1209678517935355,2.116176478282945,1.7868187427520752,state,,
0.4999999689339212,,,0.4631325357174546,0.4631325357174546,,,,,,,1.7868213653564453,control,0.2499999844669628,0.24999998446695837
,-0.0038616022978568074,0.00041105931556303417,,,0.010551104907061092,77.97073887818203,-0.0009502211313651524,2.5694265232886178,2.5756223575866444,2.572524440437631,1.7920191287994385,state,,
0.4999999689339212,,,0.48386988500310546,0.48386988500310546,,,,,,,1.7920219898223877,control,0.2499999844669628,0.24999998446695837
,0.0034524353785769213,-0.003129597250179099,,,0.010330710046240468,81.92983586615026,-0.0009141483142234215,3.037074561433988,3.053294649265852,3.04518460534992,1.7969627380371094,state,,
-0.3076098991523881,,,0.4441924873030434,0.4441924873030434,,,,,,,1.7969655990600586,control,-0.15380494957619406,-0.15380494957619406
,-0.0034319625090593474,0.007401150893698609,,,0.01770105075643554,83.8477609608732,-0.0005798731213092945,3.505000073681669,3.4848961984879323,3.4949481360848007,1.8019466400146484,state,,
-0.5,,,0.40530863755698254,0.40530863755698254,,,,,,,1.8019495010375977,control,-0.25,-0.25
,0.003747900017057401,-0.0035994130203361448,,,0.02063471874277397,83.51353828212754,-0.000458052725440319,3.911683033170147,3.9027099835375725,3.90719650835386,1.8069989681243896,state,,
-0.5,,,0.36720246480584284,0.36720246480584284,,,,,,,1.8070015907287598,control,-0.25,-0.25
,0.0018762157734867862,-0.008552618026469287,,,0.0293278805743993,81.26715751603578,-0.0003121215862358891,4.270945964364487,4.284614106905579,4.277780035635033,1.8126263618469238,state,,
-0.5,,,0.32985841550972594,0.32985841550972594,,,,,,,1.8126294612884521,control,-0.24999999999999556,-0.25000000000000444
,0.007069528948672087,-0.00821667766065409,,,0.03089857202067916,78.31983419486525,-0.000227689948039654,4.626987761742977,4.617954436384878,4.622471099063928,1.8172593116760254,state,,
-0.5,,,0.2932612471995314,0.2932612471995314,,,,,,,1.8172624111175537,control,-0.25000000000000444,-0.24999999999999556
,-0.005771874583626134,-0.005658037787889707,,,0.03203925421807975,73.11236189616214,-0.0001939353346177459,4.909444001116478,4.900862824502456,4.905153412809467,1.8223674297332764,state,,
-0.5,,,0.2573960222555408,0.2573960222555408,,,,,,,1.8223705291748047,control,-0.25,-0.25
,0.006221388266818827,0.007224212213373837,,,0.033910026847404746,67.56762906136309,0.0001879994246125957,5.165658613351642,5.143830175124482,5.154744394238062,1.8276302814483643,state,,
-0.5,,,0.22224810181043,0.22224810181043,,,,,,,1.827639102935791,control,-0.24999999999999556,-0.25000000000000444
,0.00047590233669702714,-0.0064117412975633935,,,0.03943694080902245,61.789225653335336,0.0003505131797371771,5.37319468554024,5.370254066355902,5.371724375948071,1.8325037956237793,state,,
-0.5,,,0.1878031397742214,0.1878031397742214,,,,,,,1.8325068950653076,control,-0.25,-0.25
,0.009409095087739636,-0.0012555269994869236,,,0.04677515411978515,55.871694069573024,0.000736087660711581,5.552434885322034,5.561369926778202,5.556902406050118,1.8375816345214844,state,,
-0.5,,,0.15404707697873696,0.15404707697873696,,,,,,,1.8375849723815918,control,-0.25,-0.25
,-0.0017040526190096367,-0.0027559061317026516,,,0.04617550344402341,50.679948480616275,0.0008767963053329942,5.721613018701737,5.733732883453061,5.727672951077398,1.8426017761230469,state,,
-0.5,,,0.12096613543916221,0.12096613543916221,,,,,,,1.8426051139831543,control,-0.24999999999999556,-0.25000000000000444
,-0.001458234655658858,-0.004757700893041121,,,0.049061332205103364,44.35264065537301,0.0010478484980468818,5.8477093318611075,5.849758513477121,5.848733922669114,1.8480792045593262,state,,
-0.5,,,0.08854681273037897,0.08854681273037897,,,,,,,1.8480820655822754,control,-0.24999999999999556,-0.25000000000000444
,-0.002472681927980356,-0.009067344671141845,,,0.05093782953659891,37.68402041594766,0.0011213685543280906,5.928167102533552,5.933872172022711,5.931019637278132,1.8527765274047852,state,,
-0.5,,,0.056775876475771384,0.056775876475771384,,,,,,,1.8527791500091553,control,-0.25000000000000444,-0.24999999999999556
,0.0034619004401746814,0.0024021650766434793,,,0.054165537962395684,30.836037393322282,0.0014873734897280708,5.970698118557831,5.981723460279614,5.976210789418722,1.8579156398773193,state,,
-0.5,,,0.025640358946255958,0.025640358946255958,,,,,,,1.8579187393188477,control,-0.25,-0.25
,-0.0022617307813168146,0.003903444981667649,,,0.060755859859944965,25.339104060456812,0.001916162208735414,6.013242820126822,6.017596976960761,6.015419898543792,1.8631577491760254,state,,
-0.5,,,-0.00487244823266916,-0.00487244823266916,,,,,,,1.8631608486175537,control,-0.25,-0.25
,-0.001244127475146072,0.003504252706973422,,,0.06252638524611578,18.27864331108255,0.0022700212258435952,5.995323573022797,5.993561211421769,5.9944423922222825,1.8680329322814941,state,,
-0.5,,,-0.03477499926801578,-0.03477499926801578,,,,,,,1.8680360317230225,control,-0.24999999999999556,-0.25000000000000444
,-6.602680018227837e-05,0.0020347426250751414,,,0.06025026556783726,12.950729677066755,0.002523996401789877,5.979936621651334,5.968862701319834,5.9743996614855845,1.8731341361999512,state,,
-0.5,,,-0.06407949928265547,-0.06407949928265547,,,,,,,1.8731372356414795,control,-0.25000000000000444,-0.24999999999999556
,-0.0027024327740347758,0.0005910405242838471,,,0.061893233911910164,6.113886158667167,0.0027956777508190015,5.887213026666952,5.9051016696710725,5.896157348169012,1.8782401084899902,state,,
-0.5,,,-0.09279790929700235,-0.09279790929700235,,,,,,,1.8782439231872559,control,-0.25,-0.25
,-0.0030224416837630204,0.013211520663183974,,,0.06221564688679866,1.0968519037830058,0.003274887817037054,5.826871142392566,5.816714912718053,5.82179302755531,1.8835663795471191,state,,
-0.5,,,-0.1209419511110623,-0.1209419511110623,,,,,,,1.8835701942443848,control,-0.25,-0.25
,0.002276386658487363,-0.005762464510248934,,,0.0637302068986678,-5.628537622493908,0.003457549812687585,5.703262273511227,5.669962607909366,5.686612440710297,1.8884592056274414,state,,
-0.5,,,-0.14852311208884106,-0.14852311208884106,,,,,,,1.8884623050689697,control,-0.25000000000000444,-0.24999999999999556
,0.003197056963647638,0.004913795558335211,,,0.06518821890187042,-11.0687471808445,0.003847912577257714,5.532124915103245,5.55724524597545,5.544685080539347,1.8935978412628174,state,,
-0.5,,,-0.17555264984706423,-0.17555264984706423,,,,,,,1.8936026096343994,control,-0.24999999999999556,-0.25000000000000444
,-0.00689408661893963,-0.0026674393015115538,,,0.06131212315944799,-16.493294823251784,0.003912543025241514,5.373818276300591,5.377950222280264,5.3758842492904275,1.8987293243408203,state,,
-0.5,,,-0.20204159685012293,-0.20204159685012293,,,,,,,1.8987343311309814,control,-0.25,-0.25
,-0.007185734150796934,0.006530730309120146,,,0.05621838135362636,-22.698399091908932,0.0041005690973676704,5.150745303555929,5.176524600754354,5.163634952155142,1.9037151336669922,state,,
-0.5,,,-0.22800076491312046,-0.22800076491312046,,,,,,,1.9037199020385742,control,-0.25000000000000444,-0.24999999999999556
,-0.0013221381952459857,0.006664733283026675,,,0.05672592273298733,-28.727889337896187,0.004420727917766563,4.922733574594953,4.925332800941722,4.924033187768337,1.9088001251220703,state,,
-0.5,,,-0.2534407496148581,-0.2534407496148581,,,,,,,1.9088034629821777,control,-0.25,-0.25
,-0.0021033832323214046,-0.003356982550326172,,,0.051307677176216676,-33.32664738554391,0.004423607033301787,4.685263910873353,4.683152975734529,4.684208443303941,1.9138646125793457,state,,
-0.5,,,-0.27837193462256093,-0.27837193462256093,,,,,,,1.9138686656951904,control,-0.25,-0.25
,0.008317355376119332,-0.006899997853643572,,,0.05450411221587241,-38.177418897059354,0.004588067020934734,4.413109342706407,4.419128502157475,4.4161189224319415,1.9190342426300049,state,,
