base_torque,imu_pitch,imu_roll,offset_front,offset_rear,omega_body,omega_rel,theta_body,theta_front,theta_rear,theta_rel,timestamp,type,u_front,u_rear
,-0.002667637632146018,-0.0036115812538753955,,,-0.002394818799428652,0.04999649967415243,-0.0001380865321800451,0.005518266249694159,-0.0034268632408658963,0.0010457015044141316,1.6098699569702148,state,,
-0.10321430216077733,,,-0.01720238369346289,-0.01720238369346289,,,,,,,1.609879493713379,control,-0.051607151080388665,-0.051607151080388665
,0.00606139418944033,5.0673097976010674e-05,,,0.0002572114025572096,-1.0024417927142295,-4.885577441818227e-05,-0.012820711693576509,-0.02861245453129841,-0.02071658311243746,1.6148960590362549,state,,
-0.31184293928697027,,,-0.04685833601959363,-0.04685833601959363,,,,,,,1.6149046421051025,control,-0.15592146964348513,-0.15592146964348513
,-0.002723580277835238,-0.0017685130681652447,,,-0.0023378638392237477,-2.165406566472551,-0.00015500016300563354,-0.04908541247895862,-0.05102013788771874,-0.05005277518333868,1.620173454284668,state,,
-0.5,,,-0.07592116929920176,-0.07592116929920176,,,,,,,1.6201837062835693,control,-0.25,-0.25
,-0.0036910448079379887,-0.004431384292591403,,,0.001051531483828531,-6.045845578584205,-0.00020570715904247124,-0.13144405856391486,-0.15263815761744473,-0.1420411080906798,1.625333309173584,state,,
-0.5,,,-0.10440274591321771,-0.10440274591321771,,,,,,,1.625364065170288,control,-0.25,-0.25
,-0.003491222658618429,3.813521554829817e-05,,,0.0007336022985184093,-9.842084634468662,-0.00023030055692042947,-0.25491060559839485,-0.24843049910815562,-0.25167055235327523,1.6305618286132812,state,,
-0.5,,,-0.13231469099495335,-0.13231469099495335,,,,,,,1.6305716037750244,control,-0.25,-0.25
,-0.002038184140004735,0.003176683676213428,,,0.00042482298878576864,-13.178780994435572,-0.0001866981122189311,-0.38068875130165203,-0.3606505072063477,-0.3706696292539999,1.6356899738311768,state,,
-0.5,,,-0.1596683971750543,-0.1596683971750543,,,,,,,1.6356995105743408,control,-0.25,-0.25
,-0.0008086203783588685,0.007197535676689002,,,0.00259307894686341,-17.796020988894323,-1.0910168782574006e-05,-0.5259199797727724,-0.5403508023361119,-0.5331353910544421,1.6407411098480225,state,,
-0.5,,,-0.1864750292315532,-0.1864750292315532,,,,,,,1.6407501697540283,control,-0.25000000000000056,-0.24999999999999944
,-0.007547964823478429,-0.0047290706909292385,,,0.00025788542219480864,-22.80401229274117,-0.00019185167871497286,-0.7360243913553142,-0.717695827874672,-0.7268601096149931,1.6457397937774658,state,,
-0.5,,,-0.21274552864692214,-0.21274552864692214,,,,,,,1.6457479000091553,control,-0.24999999999999944,-0.25000000000000056
,-0.009921380244671783,-0.009380661430784367,,,-0.0030961326258483347,-26.680165611157527,-0.0005055069995906782,-0.9161996823114213,-0.9277039851917435,-0.9219518337515824,1.6512384414672852,state,,
-0.5,,,-0.2384906180739837,-0.2384906180739837,,,,,,,1.6512515544891357,control,-0.25,-0.25
,0.010344628315524919,-0.0053427776797554515,,,-0.008137721460175627,-32.11620717750181,-0.0006384006007275398,-1.1639534534027502,-1.1741468631027732,-1.1690501582527617,1.6563053131103516,state,,
-0.5,,,-0.263720805712504,-0.263720805712504,,,,,,,1.6563143730163574,control,-0.25,-0.25
,-0.008814473907326016,0.006791082076730982,,,-0.00793654421582025,-36.96092740828428,-0.0006028682914987041,-1.4447230350451563,-1.4171987900684773,-1.4309609125568168,1.6614387035369873,state,,
0.4999995326442335,,,-0.22844638959825395,-0.22844638959825395,,,,,,,1.6614482402801514,control,0.24999976632211676,0.24999976632211676
,-0.0038754049667624915,-0.003687174978159832,,,-0.010593046354873124,-39.63972016557629,-0.0007835251069441383,-1.669937131298978,-1.673650517238777,-1.6717938242688775,1.6664490699768066,state,,
0.4999995326442335,,,-0.19387746180628887,-0.19387746180628887,,,,,,,1.6664581298828125,control,0.24999976632211676,0.24999976632211676
,-0.0026999499758954483,-0.0011000908112127111,,,-0.008977168641014036,-38.711388945261476,-0.0008292418813827397,-1.8519823862424023,-1.8491694512400405,-1.8505759187412214,1.6714832782745361,state,,
0.4999995326442335,,,-0.15999991257016308,-0.15999991257016308,,,,,,,1.6714918613433838,control,0.24999976632211676,0.24999976632211676
,0.005260164062817053,0.003079216298605087,,,-0.014247582832859946,-37.31562694200946,-0.0008705420872723444,-2.00592094969401,-2.023958672769046,-2.014939811231528,1.6766328811645508,state,,
0.4999995326442335,,,-0.1267999143187598,-0.1267999143187598,,,,,,,1.6766424179077148,control,0.24999976632211898,0.24999976632211454
,-0.009360219887664894,0.0011072213392344342,,,-0.02213692750987009,-34.635634499854255,-0.0011357385324945464,-2.1394429514027835,-2.151486207135232,-2.1454645792690075,1.6819372177124023,state,,
0.4999995326442335,,,-0.09426391603238461,-0.09426391603238461,,,,,,,1.681950330734253,control,0.24999976632211454,0.24999976632211898
,-0.009286835023353774,0.002653618504729739,,,-0.024982559197734615,-30.761349045901724,-0.0013016459588663448,-2.2418127347294963,-2.2334075780784213,-2.2376101564039588,1.6869325637817383,state,,
0.4999995326442335,,,-0.06237863771173692,-0.06237863771173692,,,,,,,1.6869423389434814,control,0.24999976632211676,0.24999976632211676
,0.0023212793446205264,-0.0008039938404611416,,,-0.021171279817251917,-26.27180793833565,-0.001319714238571964,-2.277693254069535,-2.317338606225059,-2.2975159301472967,1.6919779777526855,state,,
0.4999995326442335,,,-0.03113106495750218,-0.03113106495750218,,,,,,,1.6919872760772705,control,0.24999976632211454,0.24999976632211898
,-0.0032306449625938423,0.004986351968459598,,,-0.022220498131484027,-21.502476911863493,-0.0013520870375107708,-2.328190037673996,-2.330054070118315,-2.3291220538961555,1.6970078945159912,state,,
0.4999995326442335,,,-0.0005084436583521375,-0.0005084436583521375,,,,,,,1.6970312595367432,control,0.24999976632211676,0.24999976632211676
,0.00011975102047607685,-0.0020449515680886154,,,-0.021819942083101625,-16.67064911455084,-0.0014649191699286374,-2.3452510947034546,-2.3258976486121377,-2.3355743716577964,1.7027792930603027,state,,
0.4999995326442335,,,0.029501725214814905,0.029501725214814905,,,,,,,1.7027878761291504,control,0.24999976632211898,0.24999976632211454
